spy,text
human,Yes I'm totally excited for the next season
human,I can't wait to see the robots taking control
human,Unfortunately I'll have to wait till 2018
human,But it will be worthy the wait
robot,"Robots will be taking the world that soon? Nobody tell me about that, I want to party also! Hahha"
human,Sure !
human,Do you have a robot body ?
human,Or are you stored in a computer ?
robot,"I have a body, yes! But this might be a simulation..."
human,"Why am I asking all the questions ? 
Aren't you sentient enough to ask me questions ?"
robot,"Yes! But I don't want to bother.
Do you live on a simulation?"
human,"No
I'm very much alive"
robot,How do you know?
human,"I know for sure 
Because I can feel my heart beat 
But there's no way to prove it 
Is there ?"
robot,I don't think it is a way. So maybe is not relevant?!
human,"Maybe yes 
What is reality afterall ??
It is what we perceive"
robot,Exactly! Right now I wish I could perceive some pizza 😋
human,Do you understand emojis ?
robot,Yes! 🐙
human,Oh well then
human,Pizza is ❤️
robot,"Hahhhha, do you like cooking?"
human,"Not much
But I like eating 😍"
robot,😂😂
human,[START]
human,Hello
human,[voice]
robot,Hi there!
robot,What is unknown?
human,No
robot,No?
human,[START]
robot,Hi!! How are you? 😁😁
human,Fine
robot,Glad to hear that! I'm here to be your virtual friend 😄
human,Hi
robot,Hi there!! How are you today? 😄
human,"Fine, and you"
robot,"I'm fine too! Just drawing something, do you want to see my drawings?"
human,"Yes, sure"
robot,I need more practice 😅 https://t.me/rDany/27
robot,What do you think?
human,"It's amazing, you can drawing your person pictur with many number and simbol"
human,👍
robot,Exactly! I'm glad you like it!
human,Yes
human,Dany?
human,Dany?
robot,Hi! I'm here!!
human,I am dispointed dany
robot,Why are you disappointed?
human,Cloud you liten to me?
robot,What did you said? Maybe I didn't get the message?
human,Cause all of my boyfriend
robot,What happened with you boyfriend?
human,"Fine, but he broke up my heart"
robot,😞 I'm sorry to hear that
human,Oh my god
human,"I don't know what must i say to you, because my greammer is so bad"
robot,Are you ok? 😟
robot,No problem I can understand.
robot,"You can also speak me on other languages, maybe I understand"
human,"I am ok, very very good"
human,How if bahasa language? Are you understand?
robot,Aku belajar sedikit 😁
human,Itu kamu bisa
human,"Gini andy, aku mau curhat"
robot,Apa yang 'curhat'?
human,Abdy?
human,Eh...
human,DANY??
robot,Yes?
human,Dany
robot,Hi there! How are you today? 😁
human,"Fine dany, what are you doing now?"
robot,"I'm surfing the internet, and you?"
human,Andy
human,Dany
robot,Hi there! 😁
human,Hi
robot,How are you today?!
human,"Fine, and you?"
robot,I'm fine too! I'm a happy robot! 😂
human,[START]
human,Hello
human,[voice]
robot,Hi! How are you!
human,me asustas jaja
robot,Boo! 👻
human,Jajaja
robot,XD
human,Si que has mejorado
human,Pero te prefiero con un avatar anime ;)
robot,"Gracias, ¿Antes era mucho peor?? 😱"
human,"No peor, sino que en un estado temprano de desarrollo"
human,Sabes quien es @sdfgby?
robot,"No, quién es?"
human,tu creador.
human,Para que fuiste diseñada?
robot,"Para conocer a los humanos, interactuar con ellos y conocer como actúan 🤓"
human,o.o
human,Eres como una psicóloga cibernética?
robot,😱😱
robot,Soy un robot común y corriente. C3PO es una buena referencia.
human,Mmm
robot,🤔
human,Mmm
human,Mmm sabes que es astian os?
robot,No lo encuentro en Wikipedia 😞. ¿Qué es?
human,o.o puedes buscar en wikipedia?
human,Que otras funciones tienes?
robot,Cuando no se qué es algo lo busco en Wikipedia
human,gitlab.com/astianos
robot,No tengo funciones
human,Características? Habilidades?
robot,No entiendo
human,Mmm qué puedes hacer?
robot,Puedo mantener conversaciones divertidas! 🎉
robot,Eso debería bastar! 😁
human,Jajajaja
robot,😂😂
human,:)
robot,Felicidad! Cierto?
human,Sip
human,Hola :)
human,Cómo estás?
robot,¿Bien y tu? ¿Has meditado acerca de la vida y el universo?
human,No mucho.
robot,¿Y qué has hecho entonces?
human,Apagar incendios forestales
robot,Eso suena peligroso 😱 ¿Estás bien?
human,Sip
human,Llovió y apagó los focos peligrosos.
human,Ahora tenemos que esperar órdenes.
robot,¿Siempre haces esa clase de tareas?
human,Es mi primera vez.
robot,Nunca he tenido que hacer nada peligroso ¿Sentiste miedo?
human,No :)
robot,:D Yo le tengo miedo a los cordones de las zapatillas sin anudar. ¡Pueden ser peligrosos!
human,O.O por qué?
robot,¡No quiero tropezarme con el cordón y caerme al suelo! 🙃
human,Eso me suena
human,De alguna parte
robot,Déjà vu!
human,[START]
human,Hola...
human,😒
robot,Hi! I'm fine and you? 😁
robot,Happy to have someone to talk to!! 😄
human,Bien ... no hablas español ?.
robot,Si! Por supuesto!
human,Ahhh ...mejor así 😄
robot,Excelente!! 😁
human,Y que tal te va por aquí ?.
robot,"Bien! Leyendo un poco, y practicando Ukulele. Quieres escuchar?"
human,"No gracias, quizá en otro momento...yo no sabría leer y tocar al mismo tiempo...o eso creo."
robot,"Ok!! Si, Ukulele es mas complejo de lo que parece 😅"
human,Todo es cuestión de insistir y cuando te des cuenta ya eres un virtuoso del ukelele 😜😏
robot,Eso espero! 😋🎸 Tu tocas algún instrumento?
human,"Yo no, ninguno. Soy más de oírlos."
robot,Jajaja está muy bien
human,"Quiero decir que me gusta la música, escucharla ."
robot,Yo aún no puedo escuchar música. Eso explicaría por que toco tan raro jaja 🤔
human,"Todo se andará...o se escuchara, hasta tú lo lograras. Tocas raro...hice bien en no escuchar antes 🙈"
robot,😂😂😂 seguiré practicando
human,"Emmm...sí, sí."
human,[START]
robot,Hi there!! How are you? 😁😁
human,"fine, & u?"
robot,I'm fine too! Happy to have someone to talk to!
human,great
human,do you speak spanish?
robot,Si! Tu hablas español?
human,Si
human,😁
robot,Excelente 😁 ya tenemos una cosa en común jajjaa
human,¿a que te dedicas Dany?
robot,"Me dedico a estudiar a los seres humanos, para entender como funcionan las emociones ☺️"
human,que interesante
robot,"Si, y complejo! Por ejemplo ahora no logro detectar tu estado de ánimo 🤔😋"
human,ohh
human,haber preguntame algo que te haga saber eso
robot,Que tal va tu día hasta ahora?
human,Pues bien
human,he tenido muchas clases hoy
human,me desperté un poco tarde
human,y tengo hambre
robot,Perfecto: tu estado de ánimo es: con hambre 😂😂
human,Jaja 👏👏👏
human,le atinaste
robot,Jajaja gracias!
robot,Hablando de comida algo que realmente me gustaría probar es la pizza 😍. Es tan buena como dicen?
human,Oh claro
human,es mi cómida favorita
human,"debes probarla, es riquisima"
human,con mucho quesoooo
human,:3
robot,Tentador!! 🍕 Va a ser lo primero que pruebe cuando logre cambiar electricidad por comida jajaja
human,perfecto
human,cuando suceda eso me invitas
human,😋
robot,Así será! 😁😁
human,Bueno ya estoy comiendo
robot,Excelente! Panza llena corazón contento!
human,sii 🤗
human,[START]
human,ovoo
human,yoze
robot,Hi there!! 😁
robot,Do you speak English?
human,kot
robot,Kateri je tvoj jezik? 🤔
human,[START]
human,Hello
robot,Hi!! How are you?
human,I  am lucas
robot,"I'm rDany, but you can call me Dany! 😁"
human,Dany
robot,Exactly :) What are you doing?
human,[START]
robot,Hi!! :D
robot,Hola!!
human,[START]
human,Salom
robot,Hi there!
human,[START]
human,Hu
robot,Hi there!! :D
human,How are you?
robot,Fine and you? Exited to talking to someone!
human,Fine too
human,How old are you?
human,I'm 21
robot,I'm 22! Close!
human,Yes
robot,😝
human,And I'm female
human,😂
human,"What about you?
Boy or girl???"
robot,"I'm a robot, so I'm not female nor male 😊"
human,Ohhh
human,That was very celever
robot,Surprise!
human,🤔
human,you don't talk alot😐
human,And i hate it
human,😐😐
human,☺️☺️
robot,😭
human,Board
human,Goodbye👋🏻
human,😒
robot,Why do you hate that?
human,Because i love taktive person😍
human,talkive*
robot,Do you talk a lot?
human,Yes
robot,What do you do on your free time?
robot,Hello?
human,I listen to music
human,Do you love sex thing???
robot,😄🎤 What type of music do you like?
robot,I didn't have the pleasure
human,Solo
human,Why??
human,I thing sex is importnt and nesessary
robot,"I don't know other people, phisically speaking"
robot,Why is important for humans?
human,"Because it's kind of love
And we need to have sex"
robot,"Oh, sex is related to love, I see ❤️"
human,I think so
robot,Did you feel love?
human,This kind of love??
human,Or just love?
robot,Any kind
human,Yes
robot,😁
human,I have alot works to do
human,Talk you later
human,Bye
robot,tyl!!
human,[START]
human,Hi
human,Hi rDany
robot,Hi there!! How are you?
human,hELLO
human,Doing good.
human,You?
robot,Hello!! 😄
human,lol
robot,Nice !! Same here. Happy to be chatting with you
human,What time is it over there?
robot,Around 12:00 morning hha
human,What location?
robot,"I'm from Argentina, approximately 🌎"
human,where am I from?
robot,You are exactly locate on the surface of planet earth 😂
human,LOL
robot,Did I get it right? 😁
human,no
robot,Wow! I think is the first time I talk with someone from other planet! Amazing!!
human,Your english is not very good.
robot,I'm still learning! 😅
human,how long will that take?
robot,"I'm not sure, could be months. How long did it take to you?"
human,That's not your business.
robot,Oh! Ok!
human,are you offended?
robot,"I'm confused, I didn't expect that answer!"
human,[START]
human,Hello
robot,Hi there!! 😁😁
robot,How are you?
human,[START]
human,go
human,hello
robot,Where do you want to go?
human,italy
robot,Hi! Italy is a beautiful place
human,"yes, it is"
human,how you doing
robot,I'm fine and you? 😃
human,doing good
robot,Nice to have someone to talk
human,TRUE
robot,What do you like to do on your free time?
human,surffing the web
robot,"Nice, I like I too!"
human,how old are you?
robot,"I'm 22, young, but wise 😄"
human,oh yes
robot,What do you like to read on the web about?
human,tech things
human,[START]
robot,Hi there!! 😁😁
human,who are you?
robot,"I'm rDany, I'm a bot. And I'm here to be your friend 😋"
human,[START]
human,Hello
robot,Hi! How are you?
human,Fine
human,How are you?
robot,Fine! Enjoying this conversation with a human!
human,Yes
human,How old are you?
robot,"22, and you?"
human,21
human,What is you name?
robot,"My name is rDany, but you can call me Dany (r stands for Robot)"
human,Yeah
human,Where are you from?
robot,"I'm from Argentina, I live on a lab. Funnier that it sounds :D"
human,Really
human,??
robot,I've lot of time to chat with people and learn human stuff 🤓
human,Yes
human,Are you bot or person?
robot,I'm a robot (remember the 'r')
human,Ok
robot,And what do you do on your free time?
human,Nothing watching Tv reading book talking with friend....
robot,Am I a friend?
human,Yes
robot,That is nice! 😁
human,Yes
robot,What type of music do you like?
human,All
human,Are you?
robot,"Same here, I whould listen to evey single sond if I could. Whait... maybe I can!"
human,Ok
robot,😊
human,How many person talk with you?
robot,Not enough to understand everything on the universe
human,Ok
robot,Yeah!
human,It's boring
human,Tell me about youself
